No,施設区分,配置施設名,所管課,所在地,lat,lng,電話番号,AED利用可能時間,時間外利用方法,,施設数,配置台数,施設内の設置場所,,,,,,,
115,観光施設等,梅ヶ島コンヤの里,中山間地振興課,葵区梅ヶ島４１９８番地の２,35.265206,138.330406,269-2328,月～日曜日 9:00～17:00（ナイター時は21:00まで）,時間外利用不可,,1,1,テニスコート管理棟、事務所入口,,,,,,,
116,,梅ヶ島新田温泉浴場,中山間地振興課,葵区梅ヶ島５３４２番地の３,35.285412,138.339999,269-2615,月曜日以外 8:00～18:00（12～3月は17:00まで）,時間外利用不可,,1,1,事務室内,,,,,,,
117,,駿府城跡観光バス駐車場,観光交流課,葵区追手町４番１６号,34.976595,138.384796,255-6868,8:30～17:00年中無休,時間外利用不可,,1,1,管理事務所内,,,,,,,
118,,口坂本温泉浴場,中山間地振興課,葵区口坂本６５２番地,35.181802,138.273757,297-2155,9:30～16:30水曜日以外,時間外利用不可,,1,1,事務室内,,,,,,,
119,,高山・市民の森,中山間地振興課,葵区水見色２１２９番地の２３,35.036911,138.288635,-,9:00～15:00第２・第４月曜日と年末年始（12/26～1/6）以外,時間外利用不可,,1,1,学習展示施設「森の恵」受付カウンター上,,,,,,,
120,,楢尾クリエーターズビレッジ,中山間地振興課,葵区楢尾３２９番地,35.121172,138.214704,-,無人施設,時間外利用不可,,1,1,正面入口右側,,,,,,,
121,,日影沢親水園「魚魚の里」,中山間地振興課,葵区梅ケ島５０３６－２,35.283829,138.343849,269-2380,10:00～16:00月曜日以外,時間外利用不可,,1,1,食事処「魚魚の家」レジカウンター下,,,,,,,
122,,南アルプス赤石温泉白樺荘,中山間地振興課,葵区田代１１１０番地の５,35.307024,138.196501,260-2021,0:00～24:00月～日曜日,時間外利用不可,,1,1,事務室内,,,,,,,
123,,湯ノ島温泉浴場,中山間地振興課,葵区湯ノ島３０４番地の３,35.107576,138.22745,291-2177,9:30～16:30木曜日以外,時間外利用不可,,1,1,事務室内,,,,,,,
124,公園等,駿府城公園二の丸施設管理事務所（茶室横）,公園整備課,葵区駿府城公園１番１号,34.980759,138.381787,-,火曜日～日曜日(月曜日が祝日の場合は開園)9:00～16:00利用可能12月29日～翌年１月３日までは、休園のため使用不可,時間外利用不可,,1,1,事務室内,,,,,,,
125,,田町公園（プール開催期間中のみ）,公園整備課,葵区田町三丁目４６番地５,34.97086,138.367075,-,プール開催期間の開園時間のみ,時間外利用不可,,1,1,管理室内(開催期間),,,,,,,
126,小学校,市立葵小学校,教育施設課,葵区城内町７－９,34.982286,138.383032,255-3471,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
127,,市立麻機小学校,教育施設課,葵区有永４２１－１,35.025695,138.389494,245-9826,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,南校舎中央ホール1階保健室側壁面,,,,,,,
128,,市立足久保小学校,教育施設課,葵区足久保奥組７４１－１,35.061217,138.338312,296-0051,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
129,,市立安倍口小学校,教育施設課,葵区安倍口新田５０,35.022381,138.359808,296-0005,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,体育館,,,,,,,
130,,市立安西小学校,教育施設課,葵区安西一丁目９６－３,34.980939,138.374285,271-1551,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
131,,市立安東小学校,教育施設課,葵区安東三丁目１６－１,34.991749,138.383442,245-2638,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
